"Datum","VPI"
2013-10-23,92.8
2013-10-24,92.8
2013-10-25,92.8
2013-10-26,92.8
2013-10-27,92.8
2013-10-28,92.8
2013-10-29,92.8
2013-10-30,92.8
2013-10-31,92.8
2013-11-01,92.9
2013-11-02,92.9
2013-11-03,92.9
2013-11-04,92.9
2013-11-05,92.9
2013-11-06,92.9
2013-11-07,92.9
2013-11-08,92.9
2013-11-09,92.9
2013-11-10,92.9
2013-11-11,92.9
2013-11-12,92.9
2013-11-13,92.9
2013-11-14,92.9
2013-11-15,92.9
2013-11-16,92.9
2013-11-17,92.9
2013-11-18,92.9
2013-11-19,92.9
2013-11-20,92.9
2013-11-21,92.9
2013-11-22,92.9
2013-11-23,92.9
2013-11-24,92.9
2013-11-25,92.9
2013-11-26,92.9
2013-11-27,92.9
2013-11-28,92.9
2013-11-29,92.9
2013-11-30,92.9
2013-12-01,92.8
2013-12-02,92.8
2013-12-03,92.8
2013-12-04,92.8
2013-12-05,92.8
2013-12-06,92.8
2013-12-07,92.8
2013-12-08,92.8
2013-12-09,92.8
2013-12-10,92.8
2013-12-11,92.8
2013-12-12,92.8
2013-12-13,92.8
2013-12-14,92.8
2013-12-15,92.8
2013-12-16,92.8
2013-12-17,92.8
2013-12-18,92.8
2013-12-19,92.8
2013-12-20,92.8
2013-12-21,92.8
2013-12-22,92.8
2013-12-23,92.8
2013-12-24,92.8
2013-12-25,92.8
2013-12-26,92.8
2013-12-27,92.8
2013-12-28,92.8
2013-12-29,92.8
2013-12-30,92.8
2013-12-31,92.8
2014-01-01,92.8
2014-01-02,92.8
2014-01-03,92.8
2014-01-04,92.8
2014-01-05,92.8
2014-01-06,92.8
2014-01-07,92.8
2014-01-08,92.8
2014-01-09,92.8
2014-01-10,92.8
2014-01-11,92.8
2014-01-12,92.8
2014-01-13,92.8
2014-01-14,92.8
2014-01-15,92.8
2014-01-16,92.8
2014-01-17,92.8
2014-01-18,92.8
2014-01-19,92.8
2014-01-20,92.8
2014-01-21,92.8
2014-01-22,92.8
2014-01-23,92.8
2014-01-24,92.8
2014-01-25,92.8
2014-01-26,92.8
2014-01-27,92.8
2014-01-28,92.8
2014-01-29,92.8
2014-01-30,92.8
2014-01-31,92.8
2014-02-01,93
2014-02-02,93
2014-02-03,93
2014-02-04,93
2014-02-05,93
2014-02-06,93
2014-02-07,93
2014-02-08,93
2014-02-09,93
2014-02-10,93
2014-02-11,93
2014-02-12,93
2014-02-13,93
2014-02-14,93
2014-02-15,93
2014-02-16,93
2014-02-17,93
2014-02-18,93
2014-02-19,93
2014-02-20,93
2014-02-21,93
2014-02-22,93
2014-02-23,93
2014-02-24,93
2014-02-25,93
2014-02-26,93
2014-02-27,93
2014-02-28,93
2014-03-01,93.1
2014-03-02,93.1
2014-03-03,93.1
2014-03-04,93.1
2014-03-05,93.1
2014-03-06,93.1
2014-03-07,93.1
2014-03-08,93.1
2014-03-09,93.1
2014-03-10,93.1
2014-03-11,93.1
2014-03-12,93.1
2014-03-13,93.1
2014-03-14,93.1
2014-03-15,93.1
2014-03-16,93.1
2014-03-17,93.1
2014-03-18,93.1
2014-03-19,93.1
2014-03-20,93.1
2014-03-21,93.1
2014-03-22,93.1
2014-03-23,93.1
2014-03-24,93.1
2014-03-25,93.1
2014-03-26,93.1
2014-03-27,93.1
2014-03-28,93.1
2014-03-29,93.1
2014-03-30,93.1
2014-03-31,93.1
2014-04-01,93.3
2014-04-02,93.3
2014-04-03,93.3
2014-04-04,93.3
2014-04-05,93.3
2014-04-06,93.3
2014-04-07,93.3
2014-04-08,93.3
2014-04-09,93.3
2014-04-10,93.3
2014-04-11,93.3
2014-04-12,93.3
2014-04-13,93.3
2014-04-14,93.3
2014-04-15,93.3
2014-04-16,93.3
2014-04-17,93.3
2014-04-18,93.3
2014-04-19,93.3
2014-04-20,93.3
2014-04-21,93.3
2014-04-22,93.3
2014-04-23,93.3
2014-04-24,93.3
2014-04-25,93.3
2014-04-26,93.3
2014-04-27,93.3
2014-04-28,93.3
2014-04-29,93.3
2014-04-30,93.3
2014-05-01,93.5
2014-05-02,93.5
2014-05-03,93.5
2014-05-04,93.5
2014-05-05,93.5
2014-05-06,93.5
2014-05-07,93.5
2014-05-08,93.5
2014-05-09,93.5
2014-05-10,93.5
2014-05-11,93.5
2014-05-12,93.5
2014-05-13,93.5
2014-05-14,93.5
2014-05-15,93.5
2014-05-16,93.5
2014-05-17,93.5
2014-05-18,93.5
2014-05-19,93.5
2014-05-20,93.5
2014-05-21,93.5
2014-05-22,93.5
2014-05-23,93.5
2014-05-24,93.5
2014-05-25,93.5
2014-05-26,93.5
2014-05-27,93.5
2014-05-28,93.5
2014-05-29,93.5
2014-05-30,93.5
2014-05-31,93.5
2014-06-01,93.5
2014-06-02,93.5
2014-06-03,93.5
2014-06-04,93.5
2014-06-05,93.5
2014-06-06,93.5
2014-06-07,93.5
2014-06-08,93.5
2014-06-09,93.5
2014-06-10,93.5
2014-06-11,93.5
2014-06-12,93.5
2014-06-13,93.5
2014-06-14,93.5
2014-06-15,93.5
2014-06-16,93.5
2014-06-17,93.5
2014-06-18,93.5
